17.58	20.11	21.09	21.13	21.47	20.32	18.55	19.04	18.88	18.63	20.18	21.59	23.01	24.82	38.10	35.15	32.33	34.49	34.23	35.02	
9.00	8.44	10.94	10.33	9.37	7.80	7.90	8.67	8.37	9.07	8.68	7.14	7.25	11.21	12.03	9.09	10.38	11.44	13.23	13.18	
10.22	11.29	15.74	16.20	15.82	14.54	14.80	14.71	14.46	15.56	15.25	15.06	17.00	23.20	22.67	18.77	19.85	22.96	23.19	23.10	
13.11	25.94	14.53	14.59	14.76	27.18	24.84	27.59	26.75	26.23	27.01	26.09	27.36	30.29	30.43	27.96	29.32	29.55	31.92	34.13	
61.47	63.31	62.94	67.75	70.03	68.06	74.75	70.49	70.01	69.34	74.43	77.71	78.16	78.89	82.46	86.39	85.66	89.55	104.09	106.09	
118.93	127.14	128.68	134.63	139.38	139.25	153.66	143.08	144.38	144.71	153.73	160.42	167.41	169.66	176.17	177.88	175.27	187.21	205.25	208.48	
68.23	68.70	70.83	74.33	55.94	59.29	71.51	76.95	61.60	62.94	68.56	65.09	63.49	61.91	66.31	66.15	64.89	70.82	83.17	86.42	
116.69	121.47	125.01	127.14	106.22	111.20	123.76	129.19	100.79	107.00	113.31	104.20	105.82	103.66	108.23	103.63	97.14	104.73	115.19	118.59	
56.27	48.85	59.37	65.27	52.90	46.49	61.65	60.55	46.23	53.60	51.80	51.60	44.30	61.47	58.99	56.18	58.63	58.49	65.52	69.63	
75.56	74.82	78.00	81.77	77.01	71.86	79.83	80.97	75.55	81.19	86.72	89.46	91.97	92.93	98.74	97.33	96.05	105.60	120.91	129.94	
128.28	132.72	133.38	135.94	124.82	120.50	129.62	127.58	111.70	113.63	117.53	114.23	115.26	113.99	120.94	117.27	114.97	120.29	123.70	130.55	
169.71	168.42	168.01	168.35	154.95	156.31	162.58	163.86	154.26	152.59	154.20	155.97	153.66	149.71	157.14	154.09	153.42	160.31	171.66	185.95	
82.17	85.55	88.84	106.14	124.35	118.23	118.99	138.06	126.85	114.16	111.75	108.53	103.62	111.72	118.75	132.79	135.81	147.74	160.39	167.75	
8.71	9.63	10.91	11.70	12.07	11.80	12.54	13.48	13.87	13.38	14.35	14.45	14.40	17.84	17.28	15.32	16.17	18.45	18.32	20.49	
